Title,Date
"A Maldição da Residência Hill: Temporada 1: Duas tempestades","27/01/2019"
"Polar","27/01/2019"
"A Maldição da Residência Hill: Temporada 1: A moça do pescoço torto","27/01/2019"
"A Maldição da Residência Hill: Temporada 1: Coisa de gêmeos","26/01/2019"
"A Maldição da Residência Hill: Temporada 1: Toque","26/01/2019"
"A Maldição da Residência Hill: Temporada 1: Caixão aberto","26/01/2019"
"A Maldição da Residência Hill: Temporada 1: Steven vê um fantasma","26/01/2019"
"Solo","20/01/2019"
"Uma Vida Com Propósito","20/01/2019"
"Lucifer: Temporada 3: Era uma vez","16/01/2019"
"Lucifer: Temporada 3: Grande coisa, normal","16/01/2019"
"Lucifer: Temporada 3: Sou um diabo de palavra","16/01/2019"
"Lucifer: Temporada 3: Típico da estrela Decker","16/01/2019"
"Lucifer: Temporada 3: Toda ajuda possível para a Decker","16/01/2019"
"Lucifer: Temporada 3: Tudo que Pierce pode fazer, eu posso fazer melhor","16/01/2019"
"Lucifer: Temporada 3: O Anjo de San Bernardino","16/01/2019"
"Lucifer: Temporada 3: A cor laranja lhe cai bem","15/01/2019"
"Lucifer: Temporada 3: Último coração partido","15/01/2019"
"Lucifer: Temporada 3: Deixe-a cantar!","15/01/2019"
"Lucifer: Temporada 3: Cobaia infernal","15/01/2019"
"Lucifer: Temporada 3: Papagaiada de colégio","15/01/2019"
"Lucifer: Temporada 3: O protetor do meu irmão","14/01/2019"
"Lucifer: Temporada 3: Até que a morte nos separe","14/01/2019"
"Lucifer: Temporada 3: Ela no centro de tudo","14/01/2019"
"Lucifer: Temporada 3: Cidade dos Anjos?","14/01/2019"
"Lucifer: Temporada 3: Cesto de pecados","14/01/2019"
"Lucifer: Temporada 3: O Pecador","13/01/2019"
"Lucifer: Temporada 3: Chloe imita Lúcifer","13/01/2019"
"Lucifer: Temporada 3: Extraoficial","13/01/2019"
"Lucifer: Temporada 3: Vegas com outra","13/01/2019"
"Você: Temporada 1: O Capitão","12/01/2019"
"Lucifer: Temporada 3: Charlotte Richards, de novo","12/01/2019"
"Lucifer: Temporada 3: O que Lúcifer faria?","12/01/2019"
"Lucifer: Temporada 3: Sr. e Sra. Mazikeen Smith","12/01/2019"
"Lucifer: Temporada 3: Aquele que tem a cenourinha","12/01/2019"
"Lucifer: Temporada 3: Eles voltaram, né?","12/01/2019"
"Lucifer: Temporada 2: O bom, o mau e o torrado","12/01/2019"
"Lucifer: Temporada 2: Simpatia pela Deusa","12/01/2019"
"Lucifer: Temporada 2: Deus Johnson","12/01/2019"
"Você: Temporada 1: Talvez","12/01/2019"
"Você: Temporada 1: Piloto","12/01/2019"
"Lucifer: Temporada 2: Pequeno e esperto parasita","11/01/2019"
"Lucifer: Temporada 2: Candy Morningstar","11/01/2019"
"Lucifer: Temporada 2: Um bom dia para morrer","11/01/2019"
